plant,phase,toal_water_production,day,value
Al-Jubail,MSF-Phase2,Desal14,2022-05-04,25933
Al-Jubail,MSF-Phase2,Desal14,2022-05-05,25882
Al-Jubail,MSF-Phase2,Desal14,2022-05-06,25845
Al-Jubail,MSF-Phase2,Desal14,2022-05-07,25839
Al-Jubail,MSF-Phase2,Desal14,2022-05-08,25768
Al-Jubail,MSF-Phase2,Desal14,2022-05-09,25470
Al-Jubail,MSF-Phase2,Desal14,2022-05-10,25414
Al-Jubail,MSF-Phase2,Desal14,2022-05-11,25658
Al-Jubail,MSF-Phase2,Desal14,2022-05-12,25141
Al-Jubail,MSF-Phase2,Desal14,2022-05-13,25324
Al-Jubail,MSF-Phase2,Desal14,2022-05-14,26066
Al-Jubail,MSF-Phase2,Desal14,2022-05-15,25857
Al-Jubail,MSF-Phase2,Desal14,2022-05-16,20700
Al-Jubail,MSF-Phase2,Desal14,2022-05-17,5128
Al-Jubail,MSF-Phase2,Desal14,2022-05-18,22891
Al-Jubail,MSF-Phase2,Desal14,2022-05-19,23558
Al-Jubail,MSF-Phase2,Desal14,2022-05-20,23598
Al-Jubail,MSF-Phase2,Desal14,2022-05-21,24044
Al-Jubail,MSF-Phase2,Desal14,2022-05-22,24150
Al-Jubail,MSF-Phase2,Desal14,2022-05-23,24595
Al-Jubail,MSF-Phase2,Desal14,2022-05-24,24509
Al-Jubail,MSF-Phase2,Desal14,2022-05-25,24239
Al-Jubail,MSF-Phase2,Desal14,2022-05-26,24140
Al-Jubail,MSF-Phase2,Desal14,2022-05-27,23971
Al-Jubail,MSF-Phase2,Desal14,2022-05-28,24029
Al-Jubail,MSF-Phase2,Desal14,2022-05-29,15837
Al-Jubail,MSF-Phase2,Desal14,2022-05-30,9772
Al-Jubail,MSF-Phase2,Desal14,2022-05-31,23835
Al-Jubail,MSF-Phase2,Desal15,2022-05-01,26004
Al-Jubail,MSF-Phase2,Desal15,2022-05-02,25783
Al-Jubail,MSF-Phase2,Desal15,2022-05-03,25857
Al-Jubail,MSF-Phase2,Desal15,2022-05-04,25938
Al-Jubail,MSF-Phase2,Desal15,2022-05-05,25972
Al-Jubail,MSF-Phase2,Desal15,2022-05-06,25869
Al-Jubail,MSF-Phase2,Desal15,2022-05-07,26233
Al-Jubail,MSF-Phase2,Desal15,2022-05-08,26248
Al-Jubail,MSF-Phase2,Desal15,2022-05-09,26082
Al-Jubail,MSF-Phase2,Desal15,2022-05-10,25945
Al-Jubail,MSF-Phase2,Desal15,2022-05-11,26202
Al-Jubail,MSF-Phase2,Desal15,2022-05-12,26211
Al-Jubail,MSF-Phase2,Desal15,2022-05-13,25966
Al-Jubail,MSF-Phase2,Desal15,2022-05-14,26208
Al-Jubail,MSF-Phase2,Desal15,2022-05-15,26011
Al-Jubail,MSF-Phase2,Desal15,2022-05-16,20855
Al-Jubail,MSF-Phase2,Desal15,2022-05-17,6534
Al-Jubail,MSF-Phase2,Desal15,2022-05-18,25026
Al-Jubail,MSF-Phase2,Desal15,2022-05-19,25129
Al-Jubail,MSF-Phase2,Desal15,2022-05-20,24931
Al-Jubail,MSF-Phase2,Desal15,2022-05-21,25562
Al-Jubail,MSF-Phase2,Desal15,2022-05-22,25478
Al-Jubail,MSF-Phase2,Desal15,2022-05-23,25708
Al-Jubail,MSF-Phase2,Desal15,2022-05-24,25233
Al-Jubail,MSF-Phase2,Desal15,2022-05-25,25094
Al-Jubail,MSF-Phase2,Desal15,2022-05-26,25081
Al-Jubail,MSF-Phase2,Desal15,2022-05-27,24900
Al-Jubail,MSF-Phase2,Desal15,2022-05-28,24992
Al-Jubail,MSF-Phase2,Desal15,2022-05-29,16382
Al-Jubail,MSF-Phase2,Desal15,2022-05-30,9602
Al-Jubail,MSF-Phase2,Desal15,2022-05-31,23582
Al-Jubail,MSF-Phase2,Desal16,2022-05-01,26210
Al-Jubail,MSF-Phase2,Desal16,2022-05-02,26613
Al-Jubail,MSF-Phase2,Desal16,2022-05-03,26614
Al-Jubail,MSF-Phase2,Desal16,2022-05-04,26387
Al-Jubail,MSF-Phase2,Desal16,2022-05-05,26632
Al-Jubail,MSF-Phase2,Desal16,2022-05-06,26497
Al-Jubail,MSF-Phase2,Desal16,2022-05-07,26440
Al-Jubail,MSF-Phase2,Desal16,2022-05-08,26278
Al-Jubail,MSF-Phase2,Desal16,2022-05-09,26359
Al-Jubail,MSF-Phase2,Desal16,2022-05-10,26215
Al-Jubail,MSF-Phase2,Desal16,2022-05-11,26323
Al-Jubail,MSF-Phase2,Desal16,2022-05-12,26292
Al-Jubail,MSF-Phase2,Desal16,2022-05-13,26028
Al-Jubail,MSF-Phase2,Desal16,2022-05-14,26407
Al-Jubail,MSF-Phase2,Desal16,2022-05-15,26078
Al-Jubail,MSF-Phase2,Desal16,2022-05-16,21428
Al-Jubail,MSF-Phase2,Desal16,2022-05-17,418
Al-Jubail,MSF-Phase2,Desal16,2022-05-18,22217
Al-Jubail,MSF-Phase2,Desal16,2022-05-19,25248
Al-Jubail,MSF-Phase2,Desal16,2022-05-20,25191
Al-Jubail,MSF-Phase2,Desal16,2022-05-21,25533
Al-Jubail,MSF-Phase2,Desal16,2022-05-22,25462
Al-Jubail,MSF-Phase2,Desal16,2022-05-23,25631
Al-Jubail,MSF-Phase2,Desal16,2022-05-24,25545
Al-Jubail,MSF-Phase2,Desal16,2022-05-25,25330
Al-Jubail,MSF-Phase2,Desal16,2022-05-26,25344
Al-Jubail,MSF-Phase2,Desal16,2022-05-27,25525
Al-Jubail,MSF-Phase2,Desal16,2022-05-28,25635
Al-Jubail,MSF-Phase2,Desal16,2022-05-29,17360
Al-Jubail,MSF-Phase2,Desal16,2022-05-30,12086
Al-Jubail,MSF-Phase2,Desal16,2022-05-31,23826
Al-Jubail,MSF-Phase2,Desal17,2022-05-01,28153
Al-Jubail,MSF-Phase2,Desal17,2022-05-02,28033
Al-Jubail,MSF-Phase2,Desal17,2022-05-03,27985
Al-Jubail,MSF-Phase2,Desal17,2022-05-04,27515
Al-Jubail,MSF-Phase2,Desal17,2022-05-05,27598
Al-Jubail,MSF-Phase2,Desal17,2022-05-06,27412
Al-Jubail,MSF-Phase2,Desal17,2022-05-07,27686
Al-Jubail,MSF-Phase2,Desal17,2022-05-08,27748
Al-Jubail,MSF-Phase2,Desal17,2022-05-09,27329
Al-Jubail,MSF-Phase2,Desal17,2022-05-10,27322
Al-Jubail,MSF-Phase2,Desal17,2022-05-11,27623
Al-Jubail,MSF-Phase2,Desal17,2022-05-12,27651
Al-Jubail,MSF-Phase2,Desal17,2022-05-13,27581
Al-Jubail,MSF-Phase2,Desal17,2022-05-14,27679
Al-Jubail,MSF-Phase2,Desal17,2022-05-15,28069
Al-Jubail,MSF-Phase2,Desal17,2022-05-16,28415
Al-Jubail,MSF-Phase2,Desal17,2022-05-17,27769
Al-Jubail,MSF-Phase2,Desal17,2022-05-18,27097
Al-Jubail,MSF-Phase2,Desal17,2022-05-19,28009
Al-Jubail,MSF-Phase2,Desal17,2022-05-20,27185
Al-Jubail,MSF-Phase2,Desal17,2022-05-21,28466
Al-Jubail,MSF-Phase2,Desal17,2022-05-22,28366
Al-Jubail,MSF-Phase2,Desal17,2022-05-23,28555
Al-Jubail,MSF-Phase2,Desal17,2022-05-24,28573
Al-Jubail,MSF-Phase2,Desal17,2022-05-25,28905
Al-Jubail,MSF-Phase2,Desal17,2022-05-26,28943
Al-Jubail,MSF-Phase2,Desal17,2022-05-27,28695
Al-Jubail,MSF-Phase2,Desal17,2022-05-28,28781
Al-Jubail,MSF-Phase2,Desal17,2022-05-29,28137
Al-Jubail,MSF-Phase2,Desal17,2022-05-30,26868
Al-Jubail,MSF-Phase2,Desal17,2022-05-31,27030
Al-Jubail,MSF-Phase2,Desal18,2022-05-01,27243
Al-Jubail,MSF-Phase2,Desal18,2022-05-02,27489
Al-Jubail,MSF-Phase2,Desal18,2022-05-03,27339
Al-Jubail,MSF-Phase2,Desal18,2022-05-04,26805
Al-Jubail,MSF-Phase2,Desal18,2022-05-05,26251
Al-Jubail,MSF-Phase2,Desal18,2022-05-06,26153
Al-Jubail,MSF-Phase2,Desal18,2022-05-07,26712
Al-Jubail,MSF-Phase2,Desal18,2022-05-08,27404
Al-Jubail,MSF-Phase2,Desal18,2022-05-09,27534
Al-Jubail,MSF-Phase2,Desal18,2022-05-10,27351
Al-Jubail,MSF-Phase2,Desal18,2022-05-11,27492
Al-Jubail,MSF-Phase2,Desal18,2022-05-12,27389
Al-Jubail,MSF-Phase2,Desal18,2022-05-13,27308
Al-Jubail,MSF-Phase2,Desal18,2022-05-14,27246
Al-Jubail,MSF-Phase2,Desal18,2022-05-15,26989
Al-Jubail,MSF-Phase2,Desal18,2022-05-16,27645
Al-Jubail,MSF-Phase2,Desal18,2022-05-17,27482
Al-Jubail,MSF-Phase2,Desal18,2022-05-18,26767
Al-Jubail,MSF-Phase2,Desal18,2022-05-19,27960
Al-Jubail,MSF-Phase2,Desal18,2022-05-20,27067
Al-Jubail,MSF-Phase2,Desal18,2022-05-21,27994
Al-Jubail,MSF-Phase2,Desal18,2022-05-22,27877
Al-Jubail,MSF-Phase2,Desal18,2022-05-23,28050
Al-Jubail,MSF-Phase2,Desal18,2022-05-24,27949
Al-Jubail,MSF-Phase2,Desal18,2022-05-25,28065
Al-Jubail,MSF-Phase2,Desal18,2022-05-26,28000
Al-Jubail,MSF-Phase2,Desal18,2022-05-27,27768
Al-Jubail,MSF-Phase2,Desal18,2022-05-28,28286
Al-Jubail,MSF-Phase2,Desal18,2022-05-29,27465
Al-Jubail,MSF-Phase2,Desal18,2022-05-30,27620
Al-Jubail,MSF-Phase2,Desal18,2022-05-31,27703
Al-Jubail,MSF-Phase2,Desal19,2022-05-01,26351
Al-Jubail,MSF-Phase2,Desal19,2022-05-02,26624
Al-Jubail,MSF-Phase2,Desal19,2022-05-03,26649
Al-Jubail,MSF-Phase2,Desal19,2022-05-04,26209
Al-Jubail,MSF-Phase2,Desal19,2022-05-05,26228
Al-Jubail,MSF-Phase2,Desal19,2022-05-06,26205
Al-Jubail,MSF-Phase2,Desal19,2022-05-07,26349
Al-Jubail,MSF-Phase2,Desal19,2022-05-08,26626
Al-Jubail,MSF-Phase2,Desal19,2022-05-09,26755
Al-Jubail,MSF-Phase2,Desal19,2022-05-10,26748
Al-Jubail,MSF-Phase2,Desal19,2022-05-11,26441
Al-Jubail,MSF-Phase2,Desal19,2022-05-12,26307
Al-Jubail,MSF-Phase2,Desal19,2022-05-13,26286
Al-Jubail,MSF-Phase2,Desal19,2022-05-14,26374
Al-Jubail,MSF-Phase2,Desal19,2022-05-15,26560
Al-Jubail,MSF-Phase2,Desal19,2022-05-16,26655
Al-Jubail,MSF-Phase2,Desal19,2022-05-17,25823
Al-Jubail,MSF-Phase2,Desal19,2022-05-18,25215
Al-Jubail,MSF-Phase2,Desal19,2022-05-19,26961
Al-Jubail,MSF-Phase2,Desal19,2022-05-20,26057
Al-Jubail,MSF-Phase2,Desal19,2022-05-21,26781
Al-Jubail,MSF-Phase2,Desal19,2022-05-22,26736
Al-Jubail,MSF-Phase2,Desal19,2022-05-23,26875
Al-Jubail,MSF-Phase2,Desal19,2022-05-24,26655
Al-Jubail,MSF-Phase2,Desal19,2022-05-25,26713
Al-Jubail,MSF-Phase2,Desal19,2022-05-26,26672
Al-Jubail,MSF-Phase2,Desal19,2022-05-27,26393
Al-Jubail,MSF-Phase2,Desal19,2022-05-28,26314
Al-Jubail,MSF-Phase2,Desal19,2022-05-29,26007
Al-Jubail,MSF-Phase2,Desal19,2022-05-30,26165
Al-Jubail,MSF-Phase2,Desal19,2022-05-31,25905
Al-Jubail,MSF-Phase2,Desal20,2022-05-01,24761
Al-Jubail,MSF-Phase2,Desal20,2022-05-02,24841
Al-Jubail,MSF-Phase2,Desal20,2022-05-03,24573
Al-Jubail,MSF-Phase2,Desal20,2022-05-04,24226
Al-Jubail,MSF-Phase2,Desal20,2022-05-05,24095
Al-Jubail,MSF-Phase2,Desal20,2022-05-06,23694
Al-Jubail,MSF-Phase2,Desal20,2022-05-07,24176
Al-Jubail,MSF-Phase2,Desal20,2022-05-08,24551
Al-Jubail,MSF-Phase2,Desal20,2022-05-09,24635
Al-Jubail,MSF-Phase2,Desal20,2022-05-10,24620
Al-Jubail,MSF-Phase2,Desal20,2022-05-11,24881
Al-Jubail,MSF-Phase2,Desal20,2022-05-12,24727
Al-Jubail,MSF-Phase2,Desal20,2022-05-13,24667
Al-Jubail,MSF-Phase2,Desal20,2022-05-14,24669
Al-Jubail,MSF-Phase2,Desal20,2022-05-15,24466
Al-Jubail,MSF-Phase2,Desal20,2022-05-16,23477
Al-Jubail,MSF-Phase2,Desal20,2022-05-17,18321
Al-Jubail,MSF-Phase2,Desal20,2022-05-18,23823
Al-Jubail,MSF-Phase2,Desal20,2022-05-19,24318
Al-Jubail,MSF-Phase2,Desal20,2022-05-20,23201
Al-Jubail,MSF-Phase2,Desal20,2022-05-21,23629
Al-Jubail,MSF-Phase2,Desal20,2022-05-22,24054
Al-Jubail,MSF-Phase2,Desal20,2022-05-23,24118
Al-Jubail,MSF-Phase2,Desal20,2022-05-24,23773
Al-Jubail,MSF-Phase2,Desal20,2022-05-25,23932
Al-Jubail,MSF-Phase2,Desal20,2022-05-26,24072
Al-Jubail,MSF-Phase2,Desal20,2022-05-27,24135
Al-Jubail,MSF-Phase2,Desal20,2022-05-28,24170
Al-Jubail,MSF-Phase2,Desal20,2022-05-29,23388
Al-Jubail,MSF-Phase2,Desal20,2022-05-30,18948
Al-Jubail,MSF-Phase2,Desal20,2022-05-31,17500
Al-Jubail,MSF-Phase2,Desal21,2022-05-01,25190
Al-Jubail,MSF-Phase2,Desal21,2022-05-02,24959
Al-Jubail,MSF-Phase2,Desal21,2022-05-03,25039
Al-Jubail,MSF-Phase2,Desal21,2022-05-04,24842
Al-Jubail,MSF-Phase2,Desal21,2022-05-05,24717
Al-Jubail,MSF-Phase2,Desal21,2022-05-06,24590
Al-Jubail,MSF-Phase2,Desal21,2022-05-07,24568
Al-Jubail,MSF-Phase2,Desal21,2022-05-08,24791
Al-Jubail,MSF-Phase2,Desal21,2022-05-09,24933
Al-Jubail,MSF-Phase2,Desal21,2022-05-10,25157
Al-Jubail,MSF-Phase2,Desal21,2022-05-11,25626
Al-Jubail,MSF-Phase2,Desal21,2022-05-12,25524
Al-Jubail,MSF-Phase2,Desal21,2022-05-13,25271
Al-Jubail,MSF-Phase2,Desal21,2022-05-14,25240
Al-Jubail,MSF-Phase2,Desal21,2022-05-15,25038
Al-Jubail,MSF-Phase2,Desal21,2022-05-16,25266
Al-Jubail,MSF-Phase2,Desal21,2022-05-17,25091
Al-Jubail,MSF-Phase2,Desal21,2022-05-18,25162
Al-Jubail,MSF-Phase2,Desal21,2022-05-19,25123
Al-Jubail,MSF-Phase2,Desal21,2022-05-20,25056
Al-Jubail,MSF-Phase2,Desal21,2022-05-21,25018
Al-Jubail,MSF-Phase2,Desal21,2022-05-22,25039
Al-Jubail,MSF-Phase2,Desal21,2022-05-23,25864
Al-Jubail,MSF-Phase2,Desal21,2022-05-24,26080
Al-Jubail,MSF-Phase2,Desal21,2022-05-25,25673
Al-Jubail,MSF-Phase2,Desal21,2022-05-26,25545
Al-Jubail,MSF-Phase2,Desal21,2022-05-27,25431
Al-Jubail,MSF-Phase2,Desal21,2022-05-28,25422
Al-Jubail,MSF-Phase2,Desal21,2022-05-29,25573
Al-Jubail,MSF-Phase2,Desal21,2022-05-30,25459
Al-Jubail,MSF-Phase2,Desal21,2022-05-31,25570
Al-Jubail,MSF-Phase2,Desal22,2022-05-01,27297
Al-Jubail,MSF-Phase2,Desal22,2022-05-02,27150
Al-Jubail,MSF-Phase2,Desal22,2022-05-03,27138
Al-Jubail,MSF-Phase2,Desal22,2022-05-04,26997
Al-Jubail,MSF-Phase2,Desal22,2022-05-05,26887
Al-Jubail,MSF-Phase2,Desal22,2022-05-06,26718
Al-Jubail,MSF-Phase2,Desal22,2022-05-07,26685
Al-Jubail,MSF-Phase2,Desal22,2022-05-08,26938
Al-Jubail,MSF-Phase2,Desal22,2022-05-09,27156
Al-Jubail,MSF-Phase2,Desal22,2022-05-10,27117
Al-Jubail,MSF-Phase2,Desal22,2022-05-11,27061
Al-Jubail,MSF-Phase2,Desal22,2022-05-12,26978
Al-Jubail,MSF-Phase2,Desal22,2022-05-13,26908
Al-Jubail,MSF-Phase2,Desal22,2022-05-14,27039
Al-Jubail,MSF-Phase2,Desal22,2022-05-15,27363
Al-Jubail,MSF-Phase2,Desal22,2022-05-16,27278
Al-Jubail,MSF-Phase2,Desal22,2022-05-17,27278
Al-Jubail,MSF-Phase2,Desal22,2022-05-18,27462
Al-Jubail,MSF-Phase2,Desal22,2022-05-19,27391
Al-Jubail,MSF-Phase2,Desal22,2022-05-20,27266
Al-Jubail,MSF-Phase2,Desal22,2022-05-21,27249
Al-Jubail,MSF-Phase2,Desal22,2022-05-22,27283
Al-Jubail,MSF-Phase2,Desal22,2022-05-23,28514
Al-Jubail,MSF-Phase2,Desal22,2022-05-24,29168
Al-Jubail,MSF-Phase2,Desal22,2022-05-25,29296
Al-Jubail,MSF-Phase2,Desal22,2022-05-26,29246
Al-Jubail,MSF-Phase2,Desal22,2022-05-27,29101
Al-Jubail,MSF-Phase2,Desal22,2022-05-28,28933
Al-Jubail,MSF-Phase2,Desal22,2022-05-29,28776
Al-Jubail,MSF-Phase2,Desal22,2022-05-30,28318
Al-Jubail,MSF-Phase2,Desal22,2022-05-31,28246
Al-Jubail,MSF-Phase2,Desal23,2022-05-01,24363
Al-Jubail,MSF-Phase2,Desal23,2022-05-02,28102
Al-Jubail,MSF-Phase2,Desal23,2022-05-03,28043
Al-Jubail,MSF-Phase2,Desal23,2022-05-04,27915
Al-Jubail,MSF-Phase2,Desal23,2022-05-05,27823
Al-Jubail,MSF-Phase2,Desal23,2022-05-06,27804
Al-Jubail,MSF-Phase2,Desal23,2022-05-07,27737
Al-Jubail,MSF-Phase2,Desal23,2022-05-08,27974
Al-Jubail,MSF-Phase2,Desal23,2022-05-09,28089
Al-Jubail,MSF-Phase2,Desal23,2022-05-10,28037
Al-Jubail,MSF-Phase2,Desal23,2022-05-11,28053
Al-Jubail,MSF-Phase2,Desal23,2022-05-12,27884
Al-Jubail,MSF-Phase2,Desal23,2022-05-13,27893
Al-Jubail,MSF-Phase2,Desal23,2022-05-14,27955
Al-Jubail,MSF-Phase2,Desal23,2022-05-15,28028
Al-Jubail,MSF-Phase2,Desal23,2022-05-16,27803
Al-Jubail,MSF-Phase2,Desal23,2022-05-17,27771
Al-Jubail,MSF-Phase2,Desal23,2022-05-18,27572
Al-Jubail,MSF-Phase2,Desal23,2022-05-19,27527
Al-Jubail,MSF-Phase2,Desal23,2022-05-20,27442
Al-Jubail,MSF-Phase2,Desal23,2022-05-21,27315
Al-Jubail,MSF-Phase2,Desal23,2022-05-22,27206
Al-Jubail,MSF-Phase2,Desal23,2022-05-23,27205
Al-Jubail,MSF-Phase2,Desal23,2022-05-24,27306
Al-Jubail,MSF-Phase2,Desal23,2022-05-25,27211
Al-Jubail,MSF-Phase2,Desal23,2022-05-26,27136
Al-Jubail,MSF-Phase2,Desal23,2022-05-27,27057
Al-Jubail,MSF-Phase2,Desal23,2022-05-28,26906
Al-Jubail,MSF-Phase2,Desal23,2022-05-29,26855
Al-Jubail,MSF-Phase2,Desal23,2022-05-30,26746
Al-Jubail,MSF-Phase2,Desal23,2022-05-31,26636
Al-Jubail,MSF-Phase2,Desal24,2022-05-01,25340
Al-Jubail,MSF-Phase2,Desal24,2022-05-02,24793
Al-Jubail,MSF-Phase2,Desal24,2022-05-03,24771
Al-Jubail,MSF-Phase2,Desal24,2022-05-04,24714
Al-Jubail,MSF-Phase2,Desal24,2022-05-05,24613
Al-Jubail,MSF-Phase2,Desal24,2022-05-06,24392
Al-Jubail,MSF-Phase2,Desal24,2022-05-07,24310
Al-Jubail,MSF-Phase2,Desal24,2022-05-08,24531
Al-Jubail,MSF-Phase2,Desal24,2022-05-09,24693
Al-Jubail,MSF-Phase2,Desal24,2022-05-10,24707
Al-Jubail,MSF-Phase2,Desal24,2022-05-11,24654
Al-Jubail,MSF-Phase2,Desal24,2022-05-12,24474
Al-Jubail,MSF-Phase2,Desal24,2022-05-13,24490
Al-Jubail,MSF-Phase2,Desal24,2022-05-14,24629
Al-Jubail,MSF-Phase2,Desal24,2022-05-15,24712
Al-Jubail,MSF-Phase2,Desal24,2022-05-16,24586
Al-Jubail,MSF-Phase2,Desal24,2022-05-17,24585
Al-Jubail,MSF-Phase2,Desal24,2022-05-18,24640
Al-Jubail,MSF-Phase2,Desal24,2022-05-19,24769
Al-Jubail,MSF-Phase2,Desal24,2022-05-20,24809
Al-Jubail,MSF-Phase2,Desal24,2022-05-21,24976
Al-Jubail,MSF-Phase2,Desal24,2022-05-22,24876
Al-Jubail,MSF-Phase2,Desal24,2022-05-23,24946
Al-Jubail,MSF-Phase2,Desal24,2022-05-24,24973
Al-Jubail,MSF-Phase2,Desal24,2022-05-25,24988
Al-Jubail,MSF-Phase2,Desal24,2022-05-26,24964
Al-Jubail,MSF-Phase2,Desal24,2022-05-27,24791
Al-Jubail,MSF-Phase2,Desal24,2022-05-28,24709
Al-Jubail,MSF-Phase2,Desal24,2022-05-29,24660
Al-Jubail,MSF-Phase2,Desal24,2022-05-30,24565
Al-Jubail,MSF-Phase2,Desal24,2022-05-31,24465
Al-Jubail,MSF-Phase2,Desal25,2022-05-01,18901
Al-Jubail,MSF-Phase2,Desal25,2022-05-02,20142
Al-Jubail,MSF-Phase2,Desal25,2022-05-03,573
Al-Jubail,MSF-Phase2,Desal25,2022-05-04,0
Al-Jubail,MSF-Phase2,Desal25,2022-05-05,6514
Al-Jubail,MSF-Phase2,Desal25,2022-05-06,26165
Al-Jubail,MSF-Phase2,Desal25,2022-05-07,27507
Al-Jubail,MSF-Phase2,Desal25,2022-05-08,9662
Al-Jubail,MSF-Phase2,Desal25,2022-05-09,25355
Al-Jubail,MSF-Phase2,Desal25,2022-05-10,26567
Al-Jubail,MSF-Phase2,Desal25,2022-05-11,26707
Al-Jubail,MSF-Phase2,Desal25,2022-05-12,26651
Al-Jubail,MSF-Phase2,Desal25,2022-05-13,26627
Al-Jubail,MSF-Phase2,Desal25,2022-05-14,26692
Al-Jubail,MSF-Phase2,Desal25,2022-05-15,26744
Al-Jubail,MSF-Phase2,Desal25,2022-05-16,26497
Al-Jubail,MSF-Phase2,Desal25,2022-05-17,26272
Al-Jubail,MSF-Phase2,Desal25,2022-05-18,26325
Al-Jubail,MSF-Phase2,Desal25,2022-05-19,26333
Al-Jubail,MSF-Phase2,Desal25,2022-05-20,26191
Al-Jubail,MSF-Phase2,Desal25,2022-05-21,26111
Al-Jubail,MSF-Phase2,Desal25,2022-05-22,25960
Al-Jubail,MSF-Phase2,Desal25,2022-05-23,26117
Al-Jubail,MSF-Phase2,Desal25,2022-05-24,26095
Al-Jubail,MSF-Phase2,Desal25,2022-05-25,25941
Al-Jubail,MSF-Phase2,Desal25,2022-05-26,25891
Al-Jubail,MSF-Phase2,Desal25,2022-05-27,25705
Al-Jubail,MSF-Phase2,Desal25,2022-05-28,25701
Al-Jubail,MSF-Phase2,Desal25,2022-05-29,25674
Al-Jubail,MSF-Phase2,Desal25,2022-05-30,23364
Al-Jubail,MSF-Phase2,Desal25,2022-05-31,25991
Al-Jubail,MSF-Phase2,Desal26,2022-05-01,24537
Al-Jubail,MSF-Phase2,Desal26,2022-05-02,24491
Al-Jubail,MSF-Phase2,Desal26,2022-05-03,24422
Al-Jubail,MSF-Phase2,Desal26,2022-05-04,24435
Al-Jubail,MSF-Phase2,Desal26,2022-05-05,24323
Al-Jubail,MSF-Phase2,Desal26,2022-05-06,24308
Al-Jubail,MSF-Phase2,Desal26,2022-05-07,24329
Al-Jubail,MSF-Phase2,Desal26,2022-05-08,24436
Al-Jubail,MSF-Phase2,Desal26,2022-05-09,24260
Al-Jubail,MSF-Phase2,Desal26,2022-05-10,24320
Al-Jubail,MSF-Phase2,Desal26,2022-05-11,24189
Al-Jubail,MSF-Phase2,Desal26,2022-05-12,24171
Al-Jubail,MSF-Phase2,Desal26,2022-05-13,24169
Al-Jubail,MSF-Phase2,Desal26,2022-05-14,24143
Al-Jubail,MSF-Phase2,Desal26,2022-05-15,26250
Al-Jubail,MSF-Phase2,Desal26,2022-05-16,27272
Al-Jubail,MSF-Phase2,Desal26,2022-05-17,27310
Al-Jubail,MSF-Phase2,Desal26,2022-05-18,27612
Al-Jubail,MSF-Phase2,Desal26,2022-05-19,27957
Al-Jubail,MSF-Phase2,Desal26,2022-05-20,28029
Al-Jubail,MSF-Phase2,Desal26,2022-05-21,28040
Al-Jubail,MSF-Phase2,Desal26,2022-05-22,27017
Al-Jubail,MSF-Phase2,Desal26,2022-05-23,26073
Al-Jubail,MSF-Phase2,Desal26,2022-05-24,26066
Al-Jubail,MSF-Phase2,Desal26,2022-05-25,26087
Al-Jubail,MSF-Phase2,Desal26,2022-05-26,25342
Al-Jubail,MSF-Phase2,Desal26,2022-05-27,24797
Al-Jubail,MSF-Phase2,Desal26,2022-05-28,24760
Al-Jubail,MSF-Phase2,Desal26,2022-05-29,24805
Al-Jubail,MSF-Phase2,Desal26,2022-05-30,24954
Al-Jubail,MSF-Phase2,Desal26,2022-05-31,24886
Al-Jubail,MSF-Phase2,Desal27,2022-05-01,25799
Al-Jubail,MSF-Phase2,Desal27,2022-05-02,25394
Al-Jubail,MSF-Phase2,Desal27,2022-05-03,26190
Al-Jubail,MSF-Phase2,Desal27,2022-05-04,26546
Al-Jubail,MSF-Phase2,Desal27,2022-05-05,26448
