plant,phase,toal_water_production,day,value
Al-Jubail,MSF-Phase2,Desal27,2022-05-06,26306
Al-Jubail,MSF-Phase2,Desal27,2022-05-07,26260
Al-Jubail,MSF-Phase2,Desal27,2022-05-08,26667
Al-Jubail,MSF-Phase2,Desal27,2022-05-09,26768
Al-Jubail,MSF-Phase2,Desal27,2022-05-10,26351
Al-Jubail,MSF-Phase2,Desal27,2022-05-11,26143
Al-Jubail,MSF-Phase2,Desal27,2022-05-12,25937
Al-Jubail,MSF-Phase2,Desal27,2022-05-13,25884
Al-Jubail,MSF-Phase2,Desal27,2022-05-14,25505
Al-Jubail,MSF-Phase2,Desal27,2022-05-15,25686
Al-Jubail,MSF-Phase2,Desal27,2022-05-16,25403
Al-Jubail,MSF-Phase2,Desal27,2022-05-17,25277
Al-Jubail,MSF-Phase2,Desal27,2022-05-18,25305
Al-Jubail,MSF-Phase2,Desal27,2022-05-19,25563
Al-Jubail,MSF-Phase2,Desal27,2022-05-20,25424
Al-Jubail,MSF-Phase2,Desal27,2022-05-21,25366
Al-Jubail,MSF-Phase2,Desal27,2022-05-22,25326
Al-Jubail,MSF-Phase2,Desal27,2022-05-23,25463
Al-Jubail,MSF-Phase2,Desal27,2022-05-24,25642
Al-Jubail,MSF-Phase2,Desal27,2022-05-25,25767
Al-Jubail,MSF-Phase2,Desal27,2022-05-26,25692
Al-Jubail,MSF-Phase2,Desal27,2022-05-27,25586
Al-Jubail,MSF-Phase2,Desal27,2022-05-28,25494
Al-Jubail,MSF-Phase2,Desal27,2022-05-29,25424
Al-Jubail,MSF-Phase2,Desal27,2022-05-30,25432
Al-Jubail,MSF-Phase2,Desal27,2022-05-31,25306
Al-Jubail,MSF-Phase2,Desal28,2022-05-01,25523
Al-Jubail,MSF-Phase2,Desal28,2022-05-02,25396
Al-Jubail,MSF-Phase2,Desal28,2022-05-03,25470
Al-Jubail,MSF-Phase2,Desal28,2022-05-04,25325
Al-Jubail,MSF-Phase2,Desal28,2022-05-05,25278
Al-Jubail,MSF-Phase2,Desal28,2022-05-06,25154
Al-Jubail,MSF-Phase2,Desal28,2022-05-07,25204
Al-Jubail,MSF-Phase2,Desal28,2022-05-08,25620
Al-Jubail,MSF-Phase2,Desal28,2022-05-09,25679
Al-Jubail,MSF-Phase2,Desal28,2022-05-10,25627
Al-Jubail,MSF-Phase2,Desal28,2022-05-11,25544
Al-Jubail,MSF-Phase2,Desal28,2022-05-12,25618
Al-Jubail,MSF-Phase2,Desal28,2022-05-13,25658
Al-Jubail,MSF-Phase2,Desal28,2022-05-14,25828
Al-Jubail,MSF-Phase2,Desal28,2022-05-15,25923
Al-Jubail,MSF-Phase2,Desal28,2022-05-16,25705
Al-Jubail,MSF-Phase2,Desal28,2022-05-17,25591
Al-Jubail,MSF-Phase2,Desal28,2022-05-18,25562
Al-Jubail,MSF-Phase2,Desal28,2022-05-19,25512
Al-Jubail,MSF-Phase2,Desal28,2022-05-20,25440
Al-Jubail,MSF-Phase2,Desal28,2022-05-21,25398
Al-Jubail,MSF-Phase2,Desal28,2022-05-22,25361
Al-Jubail,MSF-Phase2,Desal28,2022-05-23,25456
Al-Jubail,MSF-Phase2,Desal28,2022-05-24,25464
Al-Jubail,MSF-Phase2,Desal28,2022-05-25,25783
Al-Jubail,MSF-Phase2,Desal28,2022-05-26,25462
Al-Jubail,MSF-Phase2,Desal28,2022-05-27,25349
Al-Jubail,MSF-Phase2,Desal28,2022-05-28,25328
Al-Jubail,MSF-Phase2,Desal28,2022-05-29,25284
Al-Jubail,MSF-Phase2,Desal28,2022-05-30,25317
Al-Jubail,MSF-Phase2,Desal28,2022-05-31,25524
Al-Jubail,MSF-Phase2,Desal29,2022-05-01,28388
Al-Jubail,MSF-Phase2,Desal29,2022-05-02,28008
Al-Jubail,MSF-Phase2,Desal29,2022-05-03,28392
Al-Jubail,MSF-Phase2,Desal29,2022-05-04,28436
Al-Jubail,MSF-Phase2,Desal29,2022-05-05,28228
Al-Jubail,MSF-Phase2,Desal29,2022-05-06,28184
Al-Jubail,MSF-Phase2,Desal29,2022-05-07,27655
Al-Jubail,MSF-Phase2,Desal29,2022-05-08,28185
Al-Jubail,MSF-Phase2,Desal29,2022-05-09,28530
Al-Jubail,MSF-Phase2,Desal29,2022-05-10,27764
Al-Jubail,MSF-Phase2,Desal29,2022-05-11,27618
Al-Jubail,MSF-Phase2,Desal29,2022-05-12,27656
Al-Jubail,MSF-Phase2,Desal29,2022-05-13,27930
Al-Jubail,MSF-Phase2,Desal29,2022-05-14,28357
Al-Jubail,MSF-Phase2,Desal29,2022-05-15,28416
Al-Jubail,MSF-Phase2,Desal29,2022-05-16,28106
Al-Jubail,MSF-Phase2,Desal29,2022-05-17,28175
Al-Jubail,MSF-Phase2,Desal29,2022-05-18,28353
Al-Jubail,MSF-Phase2,Desal29,2022-05-19,28518
Al-Jubail,MSF-Phase2,Desal29,2022-05-20,28278
Al-Jubail,MSF-Phase2,Desal29,2022-05-21,28197
Al-Jubail,MSF-Phase2,Desal29,2022-05-22,28100
Al-Jubail,MSF-Phase2,Desal29,2022-05-23,28192
Al-Jubail,MSF-Phase2,Desal29,2022-05-24,28208
Al-Jubail,MSF-Phase2,Desal29,2022-05-25,28114
Al-Jubail,MSF-Phase2,Desal29,2022-05-26,27958
Al-Jubail,MSF-Phase2,Desal29,2022-05-27,27857
Al-Jubail,MSF-Phase2,Desal29,2022-05-28,27506
Al-Jubail,MSF-Phase2,Desal29,2022-05-29,27389
Al-Jubail,MSF-Phase2,Desal29,2022-05-30,27476
Al-Jubail,MSF-Phase2,Desal29,2022-05-31,27298
Al-Jubail,MSF-Phase2,Desal30,2022-05-01,27868
Al-Jubail,MSF-Phase2,Desal30,2022-05-02,27761
Al-Jubail,MSF-Phase2,Desal30,2022-05-03,27783
Al-Jubail,MSF-Phase2,Desal30,2022-05-04,27633
Al-Jubail,MSF-Phase2,Desal30,2022-05-05,27454
Al-Jubail,MSF-Phase2,Desal30,2022-05-06,27512
Al-Jubail,MSF-Phase2,Desal30,2022-05-07,27515
Al-Jubail,MSF-Phase2,Desal30,2022-05-08,27742
Al-Jubail,MSF-Phase2,Desal30,2022-05-09,27918
Al-Jubail,MSF-Phase2,Desal30,2022-05-10,27764
Al-Jubail,MSF-Phase2,Desal30,2022-05-11,27577
Al-Jubail,MSF-Phase2,Desal30,2022-05-12,27405
Al-Jubail,MSF-Phase2,Desal30,2022-05-13,27371
Al-Jubail,MSF-Phase2,Desal30,2022-05-14,27485
Al-Jubail,MSF-Phase2,Desal30,2022-05-15,27520
Al-Jubail,MSF-Phase2,Desal30,2022-05-16,26900
Al-Jubail,MSF-Phase2,Desal30,2022-05-17,26859
Al-Jubail,MSF-Phase2,Desal30,2022-05-18,26915
Al-Jubail,MSF-Phase2,Desal30,2022-05-19,27101
Al-Jubail,MSF-Phase2,Desal30,2022-05-20,26983
Al-Jubail,MSF-Phase2,Desal30,2022-05-21,27000
Al-Jubail,MSF-Phase2,Desal30,2022-05-22,26954
Al-Jubail,MSF-Phase2,Desal30,2022-05-23,27021
Al-Jubail,MSF-Phase2,Desal30,2022-05-24,27140
Al-Jubail,MSF-Phase2,Desal30,2022-05-25,27138
Al-Jubail,MSF-Phase2,Desal30,2022-05-26,27054
Al-Jubail,MSF-Phase2,Desal30,2022-05-27,26939
Al-Jubail,MSF-Phase2,Desal30,2022-05-28,26888
Al-Jubail,MSF-Phase2,Desal30,2022-05-29,26772
Al-Jubail,MSF-Phase2,Desal30,2022-05-30,26753
Al-Jubail,MSF-Phase2,Desal30,2022-05-31,26639
Al-Jubail,MSF-Phase2,Desal31,2022-05-01,27251
Al-Jubail,MSF-Phase2,Desal31,2022-05-02,27589
Al-Jubail,MSF-Phase2,Desal31,2022-05-03,27887
Al-Jubail,MSF-Phase2,Desal31,2022-05-04,27782
Al-Jubail,MSF-Phase2,Desal31,2022-05-05,27686
Al-Jubail,MSF-Phase2,Desal31,2022-05-06,27643
Al-Jubail,MSF-Phase2,Desal31,2022-05-07,27385
Al-Jubail,MSF-Phase2,Desal31,2022-05-08,26715
Al-Jubail,MSF-Phase2,Desal31,2022-05-09,25767
Al-Jubail,MSF-Phase2,Desal31,2022-05-10,26838
Al-Jubail,MSF-Phase2,Desal31,2022-05-11,26676
Al-Jubail,MSF-Phase2,Desal31,2022-05-12,27655
Al-Jubail,MSF-Phase2,Desal31,2022-05-13,27643
Al-Jubail,MSF-Phase2,Desal31,2022-05-14,27704
Al-Jubail,MSF-Phase2,Desal31,2022-05-15,27735
Al-Jubail,MSF-Phase2,Desal31,2022-05-16,27728
Al-Jubail,MSF-Phase2,Desal31,2022-05-17,27676
Al-Jubail,MSF-Phase2,Desal31,2022-05-18,27641
Al-Jubail,MSF-Phase2,Desal31,2022-05-19,27612
Al-Jubail,MSF-Phase2,Desal31,2022-05-20,27448
Al-Jubail,MSF-Phase2,Desal31,2022-05-21,27345
Al-Jubail,MSF-Phase2,Desal31,2022-05-22,27459
Al-Jubail,MSF-Phase2,Desal31,2022-05-23,27620
Al-Jubail,MSF-Phase2,Desal31,2022-05-24,27597
Al-Jubail,MSF-Phase2,Desal31,2022-05-25,27552
Al-Jubail,MSF-Phase2,Desal31,2022-05-26,27481
Al-Jubail,MSF-Phase2,Desal31,2022-05-27,27367
Al-Jubail,MSF-Phase2,Desal31,2022-05-28,27233
Al-Jubail,MSF-Phase2,Desal31,2022-05-29,27424
Al-Jubail,MSF-Phase2,Desal31,2022-05-30,27033
Al-Jubail,MSF-Phase2,Desal31,2022-05-31,26874
Al-Jubail,MSF-Phase2,Desal32,2022-05-01,28763
Al-Jubail,MSF-Phase2,Desal32,2022-05-02,29003
Al-Jubail,MSF-Phase2,Desal32,2022-05-03,29328
Al-Jubail,MSF-Phase2,Desal32,2022-05-04,29133
Al-Jubail,MSF-Phase2,Desal32,2022-05-05,29012
Al-Jubail,MSF-Phase2,Desal32,2022-05-06,28935
Al-Jubail,MSF-Phase2,Desal32,2022-05-07,28876
Al-Jubail,MSF-Phase2,Desal32,2022-05-08,29233
Al-Jubail,MSF-Phase2,Desal32,2022-05-09,29490
Al-Jubail,MSF-Phase2,Desal32,2022-05-10,29417
Al-Jubail,MSF-Phase2,Desal32,2022-05-11,29275
Al-Jubail,MSF-Phase2,Desal32,2022-05-12,28966
Al-Jubail,MSF-Phase2,Desal32,2022-05-13,28182
Al-Jubail,MSF-Phase2,Desal32,2022-05-14,28234
Al-Jubail,MSF-Phase2,Desal32,2022-05-15,25926
Al-Jubail,MSF-Phase2,Desal32,2022-05-16,25392
Al-Jubail,MSF-Phase2,Desal32,2022-05-17,28749
Al-Jubail,MSF-Phase2,Desal32,2022-05-18,28760
Al-Jubail,MSF-Phase2,Desal32,2022-05-19,29317
Al-Jubail,MSF-Phase2,Desal32,2022-05-20,29290
Al-Jubail,MSF-Phase2,Desal32,2022-05-21,29139
Al-Jubail,MSF-Phase2,Desal32,2022-05-22,29006
Al-Jubail,MSF-Phase2,Desal32,2022-05-23,29077
Al-Jubail,MSF-Phase2,Desal32,2022-05-24,29079
Al-Jubail,MSF-Phase2,Desal32,2022-05-25,29127
Al-Jubail,MSF-Phase2,Desal32,2022-05-26,29022
Al-Jubail,MSF-Phase2,Desal32,2022-05-27,28941
Al-Jubail,MSF-Phase2,Desal32,2022-05-28,28828
Al-Jubail,MSF-Phase2,Desal32,2022-05-29,28505
Al-Jubail,MSF-Phase2,Desal32,2022-05-30,28465
Al-Jubail,MSF-Phase2,Desal32,2022-05-31,28356
Al-Jubail,MSF-Phase2,Desal33,2022-05-01,16251
Al-Jubail,MSF-Phase2,Desal33,2022-05-02,16228
Al-Jubail,MSF-Phase2,Desal33,2022-05-03,16221
Al-Jubail,MSF-Phase2,Desal33,2022-05-04,16124
Al-Jubail,MSF-Phase2,Desal33,2022-05-05,16043
Al-Jubail,MSF-Phase2,Desal33,2022-05-06,15968
Al-Jubail,MSF-Phase2,Desal33,2022-05-07,15883
Al-Jubail,MSF-Phase2,Desal33,2022-05-08,15950
Al-Jubail,MSF-Phase2,Desal33,2022-05-09,16168
Al-Jubail,MSF-Phase2,Desal33,2022-05-10,15716
Al-Jubail,MSF-Phase2,Desal33,2022-05-11,15218
Al-Jubail,MSF-Phase2,Desal33,2022-05-12,15238
Al-Jubail,MSF-Phase2,Desal33,2022-05-13,15252
Al-Jubail,MSF-Phase2,Desal33,2022-05-14,15370
Al-Jubail,MSF-Phase2,Desal33,2022-05-15,15426
Al-Jubail,MSF-Phase2,Desal33,2022-05-16,15568
Al-Jubail,MSF-Phase2,Desal33,2022-05-17,15860
Al-Jubail,MSF-Phase2,Desal33,2022-05-18,15847
Al-Jubail,MSF-Phase2,Desal33,2022-05-19,15879
Al-Jubail,MSF-Phase2,Desal33,2022-05-20,15830
Al-Jubail,MSF-Phase2,Desal33,2022-05-21,15630
Al-Jubail,MSF-Phase2,Desal33,2022-05-22,15560
Al-Jubail,MSF-Phase2,Desal33,2022-05-23,15914
Al-Jubail,MSF-Phase2,Desal33,2022-05-24,15941
Al-Jubail,MSF-Phase2,Desal33,2022-05-25,15962
Al-Jubail,MSF-Phase2,Desal33,2022-05-26,15899
Al-Jubail,MSF-Phase2,Desal33,2022-05-27,15836
Al-Jubail,MSF-Phase2,Desal33,2022-05-28,15808
Al-Jubail,MSF-Phase2,Desal33,2022-05-29,15790
Al-Jubail,MSF-Phase2,Desal33,2022-05-30,15743
Al-Jubail,MSF-Phase2,Desal33,2022-05-31,15575
Al-Jubail,MSF-Phase2,Desal34,2022-05-01,27391
Al-Jubail,MSF-Phase2,Desal34,2022-05-02,27441
Al-Jubail,MSF-Phase2,Desal34,2022-05-03,27461
Al-Jubail,MSF-Phase2,Desal34,2022-05-04,27720
Al-Jubail,MSF-Phase2,Desal34,2022-05-05,27761
Al-Jubail,MSF-Phase2,Desal34,2022-05-06,27736
Al-Jubail,MSF-Phase2,Desal34,2022-05-07,27329
Al-Jubail,MSF-Phase2,Desal34,2022-05-08,26968
Al-Jubail,MSF-Phase2,Desal34,2022-05-09,27383
Al-Jubail,MSF-Phase2,Desal34,2022-05-10,27608
Al-Jubail,MSF-Phase2,Desal34,2022-05-11,27650
Al-Jubail,MSF-Phase2,Desal34,2022-05-12,27568
Al-Jubail,MSF-Phase2,Desal34,2022-05-13,27518
Al-Jubail,MSF-Phase2,Desal34,2022-05-14,27481
Al-Jubail,MSF-Phase2,Desal34,2022-05-15,27431
Al-Jubail,MSF-Phase2,Desal34,2022-05-16,27509
Al-Jubail,MSF-Phase2,Desal34,2022-05-17,27613
Al-Jubail,MSF-Phase2,Desal34,2022-05-18,27613
Al-Jubail,MSF-Phase2,Desal34,2022-05-19,27555
Al-Jubail,MSF-Phase2,Desal34,2022-05-20,27653
Al-Jubail,MSF-Phase2,Desal34,2022-05-21,27393
Al-Jubail,MSF-Phase2,Desal34,2022-05-22,27079
Al-Jubail,MSF-Phase2,Desal34,2022-05-23,27499
Al-Jubail,MSF-Phase2,Desal34,2022-05-24,27089
Al-Jubail,MSF-Phase2,Desal34,2022-05-25,27196
Al-Jubail,MSF-Phase2,Desal34,2022-05-26,27260
Al-Jubail,MSF-Phase2,Desal34,2022-05-27,27113
Al-Jubail,MSF-Phase2,Desal34,2022-05-28,27039
Al-Jubail,MSF-Phase2,Desal34,2022-05-29,27146
Al-Jubail,MSF-Phase2,Desal34,2022-05-30,27344
Al-Jubail,MSF-Phase2,Desal34,2022-05-31,27190
Al-Jubail,MSF-Phase2,Desal35,2022-05-01,28156
Al-Jubail,MSF-Phase2,Desal35,2022-05-02,27997
Al-Jubail,MSF-Phase2,Desal35,2022-05-03,28021
Al-Jubail,MSF-Phase2,Desal35,2022-05-04,28018
Al-Jubail,MSF-Phase2,Desal35,2022-05-05,28088
Al-Jubail,MSF-Phase2,Desal35,2022-05-06,28113
Al-Jubail,MSF-Phase2,Desal35,2022-05-07,27760
Al-Jubail,MSF-Phase2,Desal35,2022-05-08,27385
Al-Jubail,MSF-Phase2,Desal35,2022-05-09,27774
Al-Jubail,MSF-Phase2,Desal35,2022-05-10,28057
Al-Jubail,MSF-Phase2,Desal35,2022-05-11,28120
Al-Jubail,MSF-Phase2,Desal35,2022-05-12,28014
Al-Jubail,MSF-Phase2,Desal35,2022-05-13,28049
Al-Jubail,MSF-Phase2,Desal35,2022-05-14,27990
Al-Jubail,MSF-Phase2,Desal35,2022-05-15,27995
Al-Jubail,MSF-Phase2,Desal35,2022-05-16,28048
Al-Jubail,MSF-Phase2,Desal35,2022-05-17,27953
Al-Jubail,MSF-Phase2,Desal35,2022-05-18,27963
Al-Jubail,MSF-Phase2,Desal35,2022-05-19,28081
Al-Jubail,MSF-Phase2,Desal35,2022-05-20,28246
Al-Jubail,MSF-Phase2,Desal35,2022-05-21,27938
Al-Jubail,MSF-Phase2,Desal35,2022-05-22,27656
Al-Jubail,MSF-Phase2,Desal35,2022-05-23,28270
Al-Jubail,MSF-Phase2,Desal35,2022-05-24,27856
Al-Jubail,MSF-Phase2,Desal35,2022-05-25,27908
Al-Jubail,MSF-Phase2,Desal35,2022-05-26,28108
Al-Jubail,MSF-Phase2,Desal35,2022-05-27,27848
Al-Jubail,MSF-Phase2,Desal35,2022-05-28,27845
Al-Jubail,MSF-Phase2,Desal35,2022-05-29,27846
Al-Jubail,MSF-Phase2,Desal35,2022-05-30,27825
Al-Jubail,MSF-Phase2,Desal35,2022-05-31,27549
Al-Jubail,MSF-Phase2,Desal36,2022-05-01,27281
Al-Jubail,MSF-Phase2,Desal36,2022-05-02,27229
Al-Jubail,MSF-Phase2,Desal36,2022-05-03,27086
Al-Jubail,MSF-Phase2,Desal36,2022-05-04,26962
Al-Jubail,MSF-Phase2,Desal36,2022-05-05,26902
Al-Jubail,MSF-Phase2,Desal36,2022-05-06,26823
Al-Jubail,MSF-Phase2,Desal36,2022-05-07,26770
Al-Jubail,MSF-Phase2,Desal36,2022-05-08,26810
Al-Jubail,MSF-Phase2,Desal36,2022-05-09,27016
Al-Jubail,MSF-Phase2,Desal36,2022-05-10,27064
Al-Jubail,MSF-Phase2,Desal36,2022-05-11,27021
Al-Jubail,MSF-Phase2,Desal36,2022-05-12,26904
Al-Jubail,MSF-Phase2,Desal36,2022-05-13,26851
Al-Jubail,MSF-Phase2,Desal36,2022-05-14,26789
Al-Jubail,MSF-Phase2,Desal36,2022-05-15,26971
Al-Jubail,MSF-Phase2,Desal36,2022-05-16,26849
Al-Jubail,MSF-Phase2,Desal36,2022-05-17,26895
Al-Jubail,MSF-Phase2,Desal36,2022-05-18,27017
Al-Jubail,MSF-Phase2,Desal36,2022-05-19,27658
Al-Jubail,MSF-Phase2,Desal36,2022-05-20,27600
Al-Jubail,MSF-Phase2,Desal36,2022-05-21,27361
Al-Jubail,MSF-Phase2,Desal36,2022-05-22,27289
Al-Jubail,MSF-Phase2,Desal36,2022-05-23,27741
Al-Jubail,MSF-Phase2,Desal36,2022-05-24,27813
Al-Jubail,MSF-Phase2,Desal36,2022-05-25,27837
Al-Jubail,MSF-Phase2,Desal36,2022-05-26,27763
Al-Jubail,MSF-Phase2,Desal36,2022-05-27,27739
Al-Jubail,MSF-Phase2,Desal36,2022-05-28,27696
Al-Jubail,MSF-Phase2,Desal36,2022-05-29,27667
Al-Jubail,MSF-Phase2,Desal36,2022-05-30,27683
Al-Jubail,MSF-Phase2,Desal36,2022-05-31,27469
Al-Jubail,MSF-Phase2,Desal37,2022-05-01,27482
Al-Jubail,MSF-Phase2,Desal37,2022-05-02,27508
Al-Jubail,MSF-Phase2,Desal37,2022-05-03,27567
Al-Jubail,MSF-Phase2,Desal37,2022-05-04,26984
Al-Jubail,MSF-Phase2,Desal37,2022-05-05,26569
Al-Jubail,MSF-Phase2,Desal37,2022-05-06,26906
Al-Jubail,MSF-Phase2,Desal37,2022-05-07,26754
Al-Jubail,MSF-Phase2,Desal37,2022-05-08,27140
Al-Jubail,MSF-Phase2,Desal37,2022-05-09,27165
Al-Jubail,MSF-Phase2,Desal37,2022-05-10,14471
Al-Jubail,MSF-Phase2,Desal37,2022-05-11,27665
Al-Jubail,MSF-Phase2,Desal37,2022-05-12,25356
Al-Jubail,MSF-Phase2,Desal37,2022-05-13,19224
Al-Jubail,MSF-Phase2,Desal37,2022-05-14,19345
Al-Jubail,MSF-Phase2,Desal37,2022-05-15,19415
Al-Jubail,MSF-Phase2,Desal37,2022-05-16,19325
Al-Jubail,MSF-Phase2,Desal37,2022-05-17,19249
Al-Jubail,MSF-Phase2,Desal37,2022-05-18,19120
Al-Jubail,MSF-Phase2,Desal37,2022-05-19,19317
Al-Jubail,MSF-Phase2,Desal37,2022-05-20,18967
Al-Jubail,MSF-Phase2,Desal37,2022-05-21,18862
Al-Jubail,MSF-Phase2,Desal37,2022-05-22,18880
Al-Jubail,MSF-Phase2,Desal37,2022-05-23,22080
Al-Jubail,MSF-Phase2,Desal37,2022-05-24,26276
Al-Jubail,MSF-Phase2,Desal37,2022-05-25,27226
Al-Jubail,MSF-Phase2,Desal37,2022-05-26,27153
Al-Jubail,MSF-Phase2,Desal37,2022-05-27,27059
Al-Jubail,MSF-Phase2,Desal37,2022-05-28,26991
Al-Jubail,MSF-Phase2,Desal37,2022-05-29,26919
Al-Jubail,MSF-Phase2,Desal37,2022-05-30,26763
Al-Jubail,MSF-Phase2,Desal37,2022-05-31,26589
Al-Jubail,MSF-Phase2,Desal38,2022-05-01,27277
Al-Jubail,MSF-Phase2,Desal38,2022-05-02,27306
Al-Jubail,MSF-Phase2,Desal38,2022-05-03,27247
Al-Jubail,MSF-Phase2,Desal38,2022-05-04,26582
Al-Jubail,MSF-Phase2,Desal38,2022-05-05,26728
Al-Jubail,MSF-Phase2,Desal38,2022-05-06,27083
Al-Jubail,MSF-Phase2,Desal38,2022-05-07,28406
Al-Jubail,MSF-Phase2,Desal38,2022-05-08,29061
Al-Jubail,MSF-Phase2,Desal38,2022-05-09,29025
Al-Jubail,MSF-Phase2,Desal38,2022-05-10,29286
Al-Jubail,MSF-Phase2,Desal38,2022-05-11,29053
Al-Jubail,MSF-Phase2,Desal38,2022-05-12,28838
Al-Jubail,MSF-Phase2,Desal38,2022-05-13,28843
Al-Jubail,MSF-Phase2,Desal38,2022-05-14,28971
Al-Jubail,MSF-Phase2,Desal38,2022-05-15,29074
Al-Jubail,MSF-Phase2,Desal38,2022-05-16,29153
Al-Jubail,MSF-Phase2,Desal38,2022-05-17,29029
Al-Jubail,MSF-Phase2,Desal38,2022-05-18,29051
Al-Jubail,MSF-Phase2,Desal38,2022-05-19,29222
Al-Jubail,MSF-Phase2,Desal38,2022-05-20,28586
Al-Jubail,MSF-Phase2,Desal38,2022-05-21,28360
Al-Jubail,MSF-Phase2,Desal38,2022-05-22,28453
Al-Jubail,MSF-Phase2,Desal38,2022-05-23,28487
Al-Jubail,MSF-Phase2,Desal38,2022-05-24,28220
Al-Jubail,MSF-Phase2,Desal38,2022-05-25,28970
Al-Jubail,MSF-Phase2,Desal38,2022-05-26,29011
Al-Jubail,MSF-Phase2,Desal38,2022-05-27,28946
Al-Jubail,MSF-Phase2,Desal38,2022-05-28,28756
Al-Jubail,MSF-Phase2,Desal38,2022-05-29,28817
Al-Jubail,MSF-Phase2,Desal38,2022-05-30,28740
Al-Jubail,MSF-Phase2,Desal38,2022-05-31,28494
Al-Jubail,MSF-Phase2,Desal39,2022-05-01,24002
Al-Jubail,MSF-Phase2,Desal39,2022-05-02,23920
Al-Jubail,MSF-Phase2,Desal39,2022-05-03,23040
Al-Jubail,MSF-Phase2,Desal39,2022-05-04,20280
Al-Jubail,MSF-Phase2,Desal39,2022-05-05,24280
Al-Jubail,MSF-Phase2,Desal39,2022-05-06,23495
Al-Jubail,MSF-Phase2,Desal39,2022-05-07,22939
Al-Jubail,MSF-Phase2,Desal39,2022-05-08,23633
Al-Jubail,MSF-Phase2,Desal39,2022-05-09,23637
Al-Jubail,MSF-Phase2,Desal39,2022-05-10,23614
Al-Jubail,MSF-Phase2,Desal39,2022-05-11,3970
Al-Jubail,MSF-Phase2,Desal39,2022-05-12,26900
Al-Jubail,MSF-Phase2,Desal39,2022-05-13,25818
Al-Jubail,MSF-Phase2,Desal39,2022-05-14,25788
Al-Jubail,MSF-Phase2,Desal39,2022-05-15,26143
Al-Jubail,MSF-Phase2,Desal39,2022-05-16,26089
Al-Jubail,MSF-Phase2,Desal39,2022-05-17,25926
Al-Jubail,MSF-Phase2,Desal39,2022-05-18,25752
Al-Jubail,MSF-Phase2,Desal39,2022-05-19,25987
Al-Jubail,MSF-Phase2,Desal39,2022-05-20,25625
Al-Jubail,MSF-Phase2,Desal39,2022-05-21,25616
Al-Jubail,MSF-Phase2,Desal39,2022-05-22,26068
Al-Jubail,MSF-Phase2,Desal39,2022-05-23,26694
Al-Jubail,MSF-Phase2,Desal39,2022-05-24,25373
Al-Jubail,MSF-Phase2,Desal39,2022-05-25,26925
Al-Jubail,MSF-Phase2,Desal39,2022-05-26,26961
Al-Jubail,MSF-Phase2,Desal39,2022-05-27,26774
Al-Jubail,MSF-Phase2,Desal39,2022-05-28,26668
Al-Jubail,MSF-Phase2,Desal39,2022-05-29,26509
Al-Jubail,MSF-Phase2,Desal39,2022-05-30,26343
Al-Jubail,MSF-Phase2,Desal39,2022-05-31,25496
Al-Jubail,MSF-Phase2,Desal40,2022-05-01,27045
Al-Jubail,MSF-Phase2,Desal40,2022-05-02,27162
Al-Jubail,MSF-Phase2,Desal40,2022-05-03,26612
Al-Jubail,MSF-Phase2,Desal40,2022-05-04,26714
Al-Jubail,MSF-Phase2,Desal40,2022-05-05,27078
Al-Jubail,MSF-Phase2,Desal40,2022-05-06,27660
Al-Jubail,MSF-Phase2,Desal40,2022-05-07,26094
